zapis_id,telefon_pozivatelja,telefon_primaoca,datum,vrijeme,trajanje_sekundi,tip
TZ-0001,062555333,033712345,2026-03-11,17:49,240,propusten
TZ-0002,035210200,061333111,2026-03-11,07:11,45,sms
TZ-0003,063444888,061888999,2026-03-12,14:27,240,poziv
TZ-0004,061444777,061222333,2026-03-14,14:45,15,poziv
TZ-0005,063333444,061222333,2026-03-15,21:30,120,poziv
TZ-0006,035250100,062666444,2026-03-10,17:24,240,propusten
TZ-0007,062111222,062666444,2026-03-11,19:04,15,sms
TZ-0008,061222333,062333666,2026-03-11,10:25,180,poziv
TZ-0009,062777888,062666444,2026-03-10,17:01,15,poziv
TZ-0010,061222333,063111444,2026-03-12,11:10,120,poziv
TZ-0011,062555333,061777222,2026-03-15,08:55,300,poziv
TZ-0012,061222333,062333666,2026-03-13,13:00,120,poziv
TZ-0013,061222333,063333444,2026-03-15,09:15,180,poziv
TZ-0014,061777222,063666777,2026-03-14,18:15,360,sms
TZ-0015,061222333,061444777,2026-03-14,12:05,120,poziv
TZ-0016,063222999,061444777,2026-03-14,07:24,120,poziv
TZ-0017,062444555,061222333,2026-03-15,10:30,45,poziv
TZ-0018,062888111,035250100,2026-03-16,16:41,45,poziv
TZ-0019,061333111,061555666,2026-03-12,12:38,15,sms
TZ-0020,035250100,063444888,2026-03-11,16:07,90,poziv
TZ-0021,062444555,062555333,2026-03-14,22:44,15,sms
TZ-0022,061222333,061555666,2026-03-15,14:00,120,poziv
TZ-0023,061222333,062777888,2026-03-11,10:05,30,poziv
TZ-0024,063666777,061333111,2026-03-16,13:40,180,poziv
TZ-0025,061666555,063222999,2026-03-13,11:53,90,poziv
TZ-0026,061888999,063111444,2026-03-10,20:20,300,poziv
TZ-0027,061222333,066999000,2026-03-15,22:00,30,poziv
TZ-0028,066999000,062333666,2026-03-13,16:16,360,sms
TZ-0029,062111222,066999000,2026-03-13,09:41,300,poziv
TZ-0030,063111444,062666444,2026-03-11,20:36,90,sms
TZ-0031,061666555,062444555,2026-03-15,16:12,0,sms
TZ-0032,063333444,035210200,2026-03-16,12:50,60,propusten
TZ-0033,062444555,062111222,2026-03-10,20:33,0,sms
TZ-0034,035250100,063666777,2026-03-12,12:49,300,poziv
TZ-0035,062666444,062444555,2026-03-15,11:43,120,poziv
TZ-0036,061222333,062444555,2026-03-15,17:00,60,poziv
TZ-0037,061555666,061777222,2026-03-13,21:29,45,sms
TZ-0038,062777888,061666555,2026-03-13,18:59,0,poziv
TZ-0039,066999000,062666444,2026-03-11,22:33,300,poziv
TZ-0040,061222333,063333444,2026-03-12,21:25,180,poziv
TZ-0041,063444888,063333444,2026-03-11,11:24,180,sms
TZ-0042,035250100,035321654,2026-03-10,13:27,120,poziv
TZ-0043,063555222,063222999,2026-03-14,20:07,45,poziv
TZ-0044,062777888,061888999,2026-03-11,18:54,180,poziv
TZ-0045,061666555,061888999,2026-03-12,17:45,0,propusten
TZ-0046,061222333,063222999,2026-03-12,15:35,90,poziv
TZ-0047,061222333,063333444,2026-03-10,15:30,120,poziv
TZ-0048,063111444,062777888,2026-03-12,17:49,15,poziv
TZ-0049,063333444,066999000,2026-03-16,17:53,240,poziv
TZ-0050,063222999,061888999,2026-03-11,18:27,0,poziv
TZ-0051,035250100,063555222,2026-03-12,17:55,300,poziv
TZ-0052,062333666,063444888,2026-03-13,17:43,240,poziv
TZ-0053,061222333,062666444,2026-03-14,16:15,90,poziv
TZ-0054,062444555,062888111,2026-03-10,19:27,300,poziv
TZ-0055,062444555,033712345,2026-03-15,18:39,90,poziv
TZ-0056,063333444,035321654,2026-03-15,21:44,120,sms
TZ-0057,066999000,063666777,2026-03-11,15:28,300,poziv
TZ-0058,062111222,061444777,2026-03-10,15:51,15,poziv
TZ-0059,062333666,061666555,2026-03-12,08:28,240,sms
TZ-0060,062555333,061888999,2026-03-14,08:15,90,sms
TZ-0061,061555666,062555333,2026-03-11,13:49,15,sms
TZ-0062,061222333,062888111,2026-03-12,08:05,120,poziv
TZ-0063,063666777,061666555,2026-03-16,21:43,180,poziv
TZ-0064,062555333,062333666,2026-03-16,22:33,90,sms
TZ-0065,061222333,063666777,2026-03-16,08:41,240,poziv
TZ-0066,063222999,035250100,2026-03-16,12:37,240,poziv
TZ-0067,061222333,061333111,2026-03-14,13:53,15,propusten
TZ-0068,062333666,063222999,2026-03-14,18:15,90,poziv
TZ-0069,063444888,061222333,2026-03-14,18:15,240,poziv
TZ-0070,063333444,061222333,2026-03-15,11:54,240,sms
TZ-0071,062888111,063555222,2026-03-11,21:26,45,poziv
TZ-0072,062555333,063666777,2026-03-12,09:39,240,propusten
TZ-0073,063666777,062444555,2026-03-11,11:10,240,poziv
TZ-0074,062555333,061666555,2026-03-12,21:02,0,poziv
TZ-0075,063222999,063666777,2026-03-12,19:55,45,sms
TZ-0076,063555222,062111222,2026-03-10,09:08,45,propusten
TZ-0077,061222333,063555222,2026-03-13,21:50,120,poziv
TZ-0078,063444888,062666444,2026-03-16,09:08,60,sms
TZ-0079,035250100,062333666,2026-03-14,18:16,360,poziv
TZ-0080,063111444,062111222,2026-03-15,08:22,180,poziv
TZ-0081,063333444,063111444,2026-03-16,14:22,180,poziv
TZ-0082,061555666,063111444,2026-03-12,22:32,15,poziv
TZ-0083,061666555,062777888,2026-03-13,14:19,120,sms
TZ-0084,062111222,061666555,2026-03-12,09:30,120,sms
TZ-0085,063666777,062888111,2026-03-10,21:49,60,propusten
TZ-0086,061222333,062777888,2026-03-15,20:35,0,propusten
TZ-0087,061666555,061444777,2026-03-16,11:39,0,poziv
